Sequence,Date,Value1,Value2,Value3,Value4,Value5,Value6
1772,2015-12-22,27,39,19,41,12,45
1771,2015-12-19,38,02,27,28,32,20
1770,2015-12-16,34,30,41,11,27,26
1769,2015-12-12,32,44,54,60,47,37
1768,2015-12-09,35,11,07,50,34,05
1767,2015-12-05,44,26,39,35,16,45
1766,2015-12-02,60,23,22,46,53,41
1765,2015-11-28,01,28,56,37,06,58
1764,2015-11-25,06,07,41,39,29,55
1763,2015-11-21,21,09,15,36,12,31
1762,2015-11-18,45,59,42,55,32,26
1761,2015-11-14,53,36,10,09,50,55
1760,2015-11-13,25,10,24,47,48,36
1759,2015-11-10,02,14,21,60,22,51
1758,2015-11-07,06,23,16,11,42,36
1757,2015-11-04,43,13,28,56,37,25
1756,2015-10-31,28,13,06,14,45,35
1755,2015-10-28,48,05,30,18,08,02
1754,2015-10-24,20,31,40,30,27,53
1753,2015-10-21,54,08,45,29,35,15
1752,2015-10-17,36,53,55,37,60,09
1751,2015-10-15,42,22,51,23,57,15
1750,2015-10-13,17,41,48,15,20,31
1749,2015-10-10,33,13,14,03,43,29
1748,2015-10-07,02,53,13,49,10,41
1747,2015-10-03,53,34,59,33,48,06
1746,2015-09-30,37,40,06,58,41,18
1745,2015-09-26,13,47,60,18,52,09
1744,2015-09-23,12,09,56,29,14,42
1743,2015-09-19,34,31,29,04,10,35
1742,2015-09-16,23,27,21,19,52,11
1741,2015-09-12,49,18,20,32,15,48
1740,2015-09-09,38,15,47,25,10,53
1739,2015-09-05,34,17,09,46,10,32
1738,2015-09-02,53,46,28,48,37,12
1737,2015-08-29,59,05,51,42,50,08
1736,2015-08-26,13,32,12,41,24,29
1735,2015-08-22,46,16,33,45,34,06
1734,2015-08-19,52,29,17,41,12,25
1733,2015-08-15,05,09,41,14,03,46
1732,2015-08-12,25,60,34,53,45,38
1731,2015-08-08,59,49,43,05,27,18
1730,2015-08-06,01,24,10,17,42,51
1729,2015-08-04,53,14,44,07,23,43
1728,2015-08-01,28,39,08,59,42,03
1727,2015-07-29,04,06,41,40,19,20
1726,2015-07-25,42,54,57,03,49,10
1725,2015-07-22,26,31,30,18,16,34
1724,2015-07-18,27,39,37,58,60,33
1723,2015-07-15,27,60,30,14,46,52
1722,2015-07-11,41,39,09,49,23,58
1721,2015-07-09,12,33,04,38,36,19
1720,2015-07-07,49,39,18,31,57,23
1719,2015-07-04,44,22,31,54,34,01
1718,2015-07-01,30,53,04,31,47,32
1717,2015-06-27,09,58,16,44,02,37
1716,2015-06-24,25,36,02,53,42,41
1715,2015-06-20,20,16,35,40,60,53
1714,2015-06-17,51,02,24,52,36,08
1713,2015-06-13,03,29,10,16,23,27
1712,2015-06-10,50,19,59,02,29,12
1711,2015-06-06,38,22,50,45,26,39
1710,2015-06-03,59,56,07,28,21,58
1709,2015-05-30,30,07,47,35,19,42
1708,2015-05-27,38,50,29,45,17,32
1707,2015-05-23,36,27,20,07,16,52
1706,2015-05-20,12,31,34,48,36,56
1705,2015-05-16,50,37,51,27,29,25
1704,2015-05-13,11,07,59,51,32,01
1703,2015-05-09,49,03,35,39,23,26
1702,2015-05-07,39,52,17,35,19,33
1701,2015-05-05,09,03,18,40,32,56
1700,2015-05-02,58,41,48,50,15,18
1699,2015-04-29,01,10,30,33,38,06
1698,2015-04-25,24,44,28,13,45,11
1697,2015-04-22,08,30,23,51,53,58
1696,2015-04-18,12,01,31,37,17,46
1695,2015-04-15,36,43,38,24,58,44
1694,2015-04-11,34,29,20,37,57,45
1693,2015-04-08,19,18,38,05,21,15
1692,2015-04-04,44,56,13,14,27,11
1691,2015-04-01,39,45,58,10,01,24
1690,2015-03-28,24,45,53,35,26,21
1689,2015-03-25,41,02,53,05,13,27
1688,2015-03-21,18,23,42,56,32,30
1687,2015-03-18,15,58,24,37,46,49
1686,2015-03-14,44,37,09,55,14,46
1685,2015-03-11,39,46,18,51,31,03
1684,2015-03-07,09,12,31,50,18,39
1683,2015-03-04,48,04,12,34,32,33
1682,2015-02-28,13,39,51,37,35,07
1681,2015-02-25,01,33,08,11,06,50
1680,2015-02-21,37,46,47,51,23,38
1679,2015-02-18,28,02,01,46,27,47
1678,2015-02-14,35,52,17,19,09,11
1677,2015-02-11,52,33,15,28,51,10
1676,2015-02-07,02,01,37,51,48,11
1675,2015-02-04,36,03,35,56,18,34
1674,2015-01-31,42,59,30,58,50,22
1673,2015-01-28,35,10,47,05,24,23
1672,2015-01-24,20,10,01,05,42,03
1671,2015-01-21,21,31,56,55,45,27
1670,2015-01-17,01,33,30,17,47,19
1669,2015-01-14,29,28,31,48,45,49
1668,2015-01-10,47,40,55,57,52,05
1667,2015-01-07,51,24,56,07,12,44
1666,2015-01-03,51,27,01,23,45,02
1665,2014-12-31,20,11,16,01,56,05
1664,2014-12-24,48,08,21,36,23,29
1663,2014-12-20,20,27,49,40,55,18
1662,2014-12-17,57,10,25,14,33,29
1661,2014-12-13,16,48,43,27,58,13
1660,2014-12-10,17,38,42,51,34,08
1659,2014-12-06,20,33,37,49,04,10
1658,2014-12-03,07,40,19,49,11,23
1657,2014-11-29,10,54,37,45,14,07
1656,2014-11-26,06,04,43,54,56,11
1655,2014-11-22,56,46,07,24,28,53
1654,2014-11-19,50,33,42,07,58,16
1653,2014-11-14,45,22,27,21,01,32
1652,2014-11-12,44,28,24,57,07,26
1651,2014-11-08,27,44,08,35,38,41
1650,2014-11-05,23,57,29,17,60,38
1649,2014-11-01,54,33,24,44,38,42
1648,2014-10-29,48,18,15,22,20,16
1647,2014-10-25,38,54,23,12,17,53
1646,2014-10-22,34,23,41,19,40,58
1645,2014-10-18,31,37,21,38,08,18
1644,2014-10-15,10,16,34,13,60,22
1643,2014-10-11,19,20,16,60,28,37
1642,2014-10-08,47,03,43,42,60,23
1641,2014-10-04,51,30,29,33,46,23
1640,2014-10-01,06,18,46,23,31,02
1639,2014-09-27,35,51,34,49,16,29
1638,2014-09-24,38,02,42,58,41,01
1637,2014-09-20,05,56,24,55,01,47
1636,2014-09-17,33,19,52,51,35,26
1635,2014-09-13,30,32,51,08,28,23
1634,2014-09-10,44,09,33,10,23,51
1633,2014-09-06,02,11,49,13,36,01
1632,2014-09-03,18,56,27,06,24,59
1631,2014-08-30,47,48,44,60,04,29
1630,2014-08-27,30,43,07,44,01,54
1629,2014-08-23,47,20,35,04,59,24
1628,2014-08-20,38,26,60,34,29,50
1627,2014-08-16,26,57,20,32,45,41
1626,2014-08-13,03,52,05,43,35,14
1625,2014-08-09,45,11,22,52,36,40
1624,2014-08-07,32,02,27,47,58,41
1623,2014-08-05,33,56,59,43,50,49
1622,2014-08-02,21,07,05,53,45,04
1621,2014-07-30,24,22,38,49,10,39
1620,2014-07-26,57,23,38,13,34,27
1619,2014-07-23,46,17,05,42,47,08
1618,2014-07-19,09,51,20,24,52,43
1617,2014-07-16,23,31,47,54,03,26
1616,2014-07-12,46,40,58,31,28,42
1615,2014-07-09,26,20,05,44,33,31
1614,2014-07-05,49,27,43,17,14,21
1613,2014-07-02,31,18,04,46,44,49
1612,2014-06-28,17,51,36,06,42,13
1611,2014-06-25,24,51,50,28,58,47
1610,2014-06-21,36,53,35,09,01,04
1609,2014-06-18,02,26,06,13,53,60
1608,2014-06-14,06,43,17,05,54,59
1607,2014-06-11,32,41,51,07,31,52
1606,2014-06-07,54,01,15,37,46,42
1605,2014-06-04,42,30,09,19,31,21
1604,2014-05-31,21,40,51,27,24,02
1603,2014-05-28,13,53,20,31,60,27
1602,2014-05-24,08,44,40,35,22,12
1601,2014-05-21,60,24,56,45,10,08
1600,2014-05-17,09,46,23,32,35,57
1599,2014-05-14,35,10,15,58,36,03
1598,2014-05-10,36,47,42,29,53,31
1597,2014-05-07,16,52,05,44,10,50
1596,2014-05-03,05,12,01,07,45,10
1595,2014-04-30,59,05,42,08,46,02
1594,2014-04-26,53,43,23,06,07,08
1593,2014-04-23,04,17,38,09,18,21
1592,2014-04-19,41,49,36,42,31,38
1591,2014-04-16,04,23,55,10,38,33
1590,2014-04-12,40,07,44,55,34,20
1589,2014-04-09,11,41,51,05,19,04
1588,2014-04-05,36,29,23,49,32,45
1587,2014-04-02,08,21,19,30,52,56
1586,2014-03-29,47,58,08,43,39,46
1585,2014-03-26,55,47,43,48,49,02
1584,2014-03-22,27,54,28,50,22,03
1583,2014-03-19,18,02,09,47,17,45
1582,2014-03-15,04,17,01,48,13,38
1581,2014-03-12,31,34,15,14,25,30
1580,2014-03-08,01,06,14,17,33,36
1579,2014-03-05,34,25,40,51,60,49
1578,2014-03-01,06,53,56,30,37,03
1577,2014-02-26,25,32,11,59,51,14
1576,2014-02-22,26,30,21,15,13,46
1575,2014-02-19,01,05,04,45,14,56
1574,2014-02-15,06,28,33,48,46,27
1573,2014-02-12,07,16,36,35,38,21
1572,2014-02-08,46,42,27,45,20,47
1571,2014-02-05,46,60,55,32,03,29
1570,2014-02-01,18,46,42,15,56,24
1569,2014-01-29,42,15,18,31,05,53
1568,2014-01-25,28,58,19,24,42,25
1567,2014-01-22,53,38,30,02,15,48
1566,2014-01-18,11,32,60,05,06,36
1565,2014-01-15,43,41,37,51,18,39
1564,2014-01-11,54,44,38,25,46,53
1563,2014-01-09,43,36,01,20,13,06
1562,2014-01-04,12,10,51,37,23,47
1561,2014-01-02,28,26,54,55,23,60
1560,2013-12-31,30,47,53,38,20,36
1559,2013-12-21,37,58,12,29,08,16
1558,2013-12-19,31,42,15,07,17,54
1557,2013-12-17,46,18,16,45,31,04
1556,2013-12-14,07,52,11,10,01,04
1555,2013-12-11,05,52,59,02,33,23
1554,2013-12-07,30,52,50,49,53,32
1553,2013-12-04,29,21,20,46,22,60
1552,2013-11-30,07,18,26,46,39,24
1551,2013-11-27,02,23,38,15,21,19
1550,2013-11-23,21,56,36,09,13,27
1549,2013-11-20,32,53,16,20,12,10
1548,2013-11-16,44,41,42,54,47,19
1547,2013-11-13,28,21,09,10,02,18
1546,2013-11-09,38,44,17,60,04,53
1545,2013-11-06,06,48,11,45,04,24
1544,2013-11-01,30,50,45,02,35,21
1543,2013-10-30,30,07,23,20,15,41
1542,2013-10-26,07,12,57,11,30,39
1541,2013-10-23,37,05,24,44,49,58
1540,2013-10-19,54,47,27,17,03,32
1539,2013-10-16,10,49,08,58,20,26
1538,2013-10-11,35,52,27,53,57,23
1537,2013-10-09,06,56,33,50,51,10
1536,2013-10-05,18,32,29,13,50,58
1535,2013-10-02,55,25,09,08,54,41
1534,2013-09-28,28,12,34,29,01,48
1533,2013-09-25,29,21,47,57,13,34
1532,2013-09-21,42,02,11,23,31,44
1531,2013-09-18,24,41,12,42,44,13
1530,2013-09-14,53,10,28,16,48,33
1529,2013-09-11,35,17,15,34,49,11
1528,2013-09-06,04,13,58,36,19,15
1527,2013-09-04,32,44,42,48,16,36
1526,2013-08-31,51,47,28,10,59,16
1525,2013-08-28,30,46,35,54,26,02
1524,2013-08-24,40,53,12,46,02,52
1523,2013-08-21,25,39,44,41,31,22
1522,2013-08-17,33,05,23,32,08,56
1521,2013-08-14,18,30,14,11,33,39
1520,2013-08-10,36,46,48,31,07,35
1519,2013-08-08,06,23,56,15,05,59
1518,2013-08-06,28,08,55,41,48,09
1517,2013-08-03,45,38,52,17,07,56
1516,2013-07-31,34,60,18,45,04,20
1515,2013-07-27,59,49,13,18,04,14
1514,2013-07-24,23,16,17,59,42,60
1513,2013-07-20,31,57,17,56,28,58
1512,2013-07-17,35,11,28,46,42,58
1511,2013-07-13,08,29,31,04,17,45
1510,2013-07-10,01,08,44,17,46,53
1509,2013-07-06,27,51,01,46,59,06
1508,2013-07-03,58,39,18,17,35,30
1507,2013-06-29,46,24,51,50,56,52
1506,2013-06-26,49,34,42,18,03,14
1505,2013-06-22,32,01,06,09,16,02
1504,2013-06-19,41,02,42,30,12,10
1503,2013-06-15,36,22,42,03,16,04
1502,2013-06-12,06,43,22,52,57,51
1501,2013-06-08,13,37,54,07,29,01
1500,2013-06-05,57,43,18,59,10,31
1499,2013-06-01,26,37,08,22,54,33
1498,2013-05-29,11,46,27,49,06,40
1497,2013-05-25,58,07,27,45,04,05
1496,2013-05-22,28,18,41,54,14,47
1495,2013-05-18,13,49,04,44,14,57
1494,2013-05-15,50,28,35,24,02,14
1493,2013-05-11,30,24,12,49,07,27
1492,2013-05-08,48,44,46,04,18,09
1491,2013-05-04,56,06,45,60,26,50
1490,2013-05-02,31,32,43,03,52,01
1489,2013-04-27,48,15,24,28,01,26
1488,2013-04-24,04,51,45,22,38,25
1487,2013-04-20,04,17,23,28,09,53
1486,2013-04-17,10,01,34,54,06,40
1485,2013-04-13,30,59,27,36,04,54
1484,2013-04-10,49,29,17,53,20,24
1483,2013-04-06,55,53,01,35,56,39
1482,2013-04-03,11,09,06,34,41,53
1481,2013-03-30,40,27,55,17,28,44
1480,2013-03-27,09,14,26,36,52,21
1479,2013-03-23,57,21,54,48,50,60
1478,2013-03-20,10,40,27,47,55,37
1477,2013-03-16,50,59,56,46,03,04
1476,2013-03-13,26,10,04,37,47,57
1475,2013-03-09,13,12,51,37,48,44
1474,2013-03-06,02,43,11,01,03,28
1473,2013-03-02,60,12,57,58,33,02
1472,2013-02-27,12,23,25,18,45,50
1471,2013-02-23,58,33,36,40,25,10
1470,2013-02-20,02,34,51,36,38,55
1469,2013-02-16,04,56,54,13,35,58
1468,2013-02-13,02,20,37,19,01,10
1467,2013-02-09,41,53,26,23,52,24
1466,2013-02-06,04,13,51,37,06,34
1465,2013-02-02,11,06,53,44,16,26
1464,2013-01-30,59,02,54,32,24,50
1463,2013-01-26,40,22,13,29,48,28
1462,2013-01-23,05,09,25,40,38,27
1461,2013-01-19,44,31,49,54,36,47
1460,2013-01-16,50,52,14,04,27,38
1459,2013-01-12,02,06,35,30,52,34
1458,2013-01-09,02,16,04,44,33,51
1457,2013-01-05,34,16,46,15,42,59
1456,2013-01-02,36,06,40,14,08,26
1455,2012-12-31,33,14,52,36,32,41
1454,2012-12-22,27,52,41,29,04,48
1453,2012-12-20,47,32,25,57,06,13
1452,2012-12-18,50,57,58,28,02,14
1451,2012-12-15,57,10,33,02,11,52
1450,2012-12-12,27,45,44,26,38,31
1449,2012-12-08,02,18,30,56,52,06
1448,2012-12-05,25,29,36,01,56,60
1447,2012-12-01,01,41,28,33,39,19
1446,2012-11-28,13,32,06,51,40,24
1445,2012-11-24,41,32,19,58,05,49
1444,2012-11-21,02,05,55,28,27,48
1443,2012-11-17,52,32,12,54,20,48
1442,2012-11-14,12,20,13,49,34,30
1441,2012-11-10,56,29,53,36,38,17
1440,2012-11-07,06,28,56,02,36,51
1439,2012-11-03,35,55,02,43,34,42
1438,2012-10-31,49,07,33,31,36,14
1437,2012-10-27,48,37,26,22,38,23
1436,2012-10-24,01,23,13,30,24,57
1435,2012-10-20,45,47,50,52,15,04
1434,2012-10-17,03,34,58,22,18,55
1433,2012-10-13,14,46,40,13,04,52
1432,2012-10-10,16,24,25,45,59,42
1431,2012-10-06,33,54,40,05,09,13
1430,2012-10-03,19,02,30,46,22,52
1429,2012-09-29,09,22,60,48,12,39
1428,2012-09-26,15,55,37,34,19,07
1427,2012-09-22,47,44,53,56,08,39
1426,2012-09-19,24,44,06,15,18,30
1425,2012-09-15,07,29,50,16,38,36
1424,2012-09-12,60,38,29,03,07,15
1423,2012-09-08,43,08,21,27,03,25
1422,2012-09-05,17,44,02,05,13,39
1421,2012-09-01,31,39,59,19,53,44
1420,2012-08-29,45,16,18,11,36,02
1419,2012-08-25,52,21,48,58,30,17
1418,2012-08-22,07,08,10,27,12,56
1417,2012-08-18,12,56,05,52,45,59
1416,2012-08-15,49,03,19,35,22,24
1415,2012-08-11,51,49,46,40,36,26
1414,2012-08-09,44,49,57,37,21,46
1413,2012-08-07,54,33,13,55,45,15
1412,2012-08-04,06,08,37,24,45,41
1411,2012-08-01,32,44,12,08,48,46
1410,2012-07-28,54,29,18,42,40,50
1409,2012-07-25,50,06,47,58,26,19
1408,2012-07-21,43,39,20,19,24,04
1407,2012-07-18,53,42,31,43,29,18
1406,2012-07-14,07,10,38,17,24,57
1405,2012-07-11,14,17,32,37,39,03
1404,2012-07-07,07,32,31,51,27,08
1403,2012-07-04,16,39,13,26,42,20
1402,2012-06-30,38,10,27,02,21,09
1401,2012-06-27,12,11,54,33,48,25
1400,2012-06-23,34,26,09,43,54,53
1399,2012-06-20,39,43,60,57,34,56
1398,2012-06-16,42,51,14,40,32,33
1397,2012-06-13,15,56,03,27,04,07
1396,2012-06-09,52,48,54,58,55,29
1395,2012-06-06,05,44,11,19,17,48
1394,2012-06-02,11,35,16,46,24,50
1393,2012-05-30,44,28,18,24,04,39
1392,2012-05-26,43,08,02,28,33,12
1391,2012-05-23,19,07,12,34,53,40
1390,2012-05-19,29,27,19,04,28,31
1389,2012-05-16,01,44,39,16,57,28
1388,2012-05-12,54,31,50,43,29,22
1387,2012-05-09,43,27,18,52,50,32
1386,2012-05-05,39,56,28,12,51,38
1385,2012-05-02,42,37,35,27,59,36
1384,2012-04-28,56,18,31,02,30,45
1383,2012-04-25,09,55,23,44,07,46
1382,2012-04-20,17,27,55,13,05,16
1381,2012-04-18,44,30,27,11,40,57
1380,2012-04-14,52,14,03,60,57,55
1379,2012-04-11,45,05,36,12,50,58
1378,2012-04-07,18,17,59,02,54,05
1377,2012-04-04,25,05,13,12,35,02
1376,2012-03-31,53,49,21,11,54,09
1375,2012-03-28,25,28,53,45,14,58
1374,2012-03-24,21,33,28,31,43,06
1373,2012-03-21,52,39,07,27,55,57
1372,2012-03-17,46,60,58,36,40,03
1371,2012-03-14,47,11,08,49,03,04
1370,2012-03-10,02,27,59,49,04,05
1369,2012-03-07,32,24,16,38,05,46
1368,2012-03-03,10,26,29,38,32,21
1367,2012-03-01,38,29,43,13,07,02
1366,2012-02-25,59,44,54,37,27,12
1365,2012-02-22,50,35,32,26,02,24
1364,2012-02-18,20,13,40,10,53,44
1363,2012-02-15,52,25,42,45,35,57
1362,2012-02-11,58,19,12,22,02,36
1361,2012-02-08,37,27,44,30,38,23
1360,2012-02-04,50,25,17,16,54,02
1359,2012-02-01,12,17,28,53,06,10
1358,2012-01-28,16,15,37,03,35,47
1357,2012-01-25,55,52,26,19,01,24
1356,2012-01-21,21,46,06,22,13,31
1355,2012-01-18,39,49,11,24,17,46
1354,2012-01-14,02,42,08,49,48,38
1353,2012-01-11,47,11,03,27,32,13
1352,2012-01-07,35,59,36,09,18,24
1351,2012-01-04,13,50,41,36,56,33
1350,2011-12-31,04,36,29,55,45,03
1349,2011-12-24,09,19,20,50,60,51
1348,2011-12-22,38,45,39,07,12,56
1347,2011-12-20,19,45,54,56,46,09
1346,2011-12-17,59,47,32,48,40,12
1345,2011-12-14,50,40,26,07,19,17
1344,2011-12-10,19,42,08,36,21,59
1343,2011-12-07,51,31,42,20,56,19
1342,2011-12-03,05,60,46,42,50,07
1341,2011-11-30,11,40,37,20,01,52
1340,2011-11-26,36,21,13,59,60,30
1339,2011-11-23,59,10,16,14,07,54
1338,2011-11-19,19,33,18,43,60,01
1337,2011-11-16,38,02,45,35,20,51
1336,2011-11-12,51,54,32,01,38,47
1335,2011-11-09,49,03,51,20,22,14
1334,2011-11-05,08,25,27,06,10,01
1333,2011-11-03,25,51,26,42,28,33
1332,2011-10-29,05,13,03,24,35,59
1331,2011-10-26,24,46,39,57,26,09
1330,2011-10-22,48,08,21,18,49,30
1329,2011-10-19,43,50,08,07,39,11
1328,2011-10-15,43,27,59,53,23,10
1327,2011-10-13,41,35,36,16,52,54
1326,2011-10-08,30,19,10,18,50,11
1325,2011-10-05,35,02,20,43,05,16
1324,2011-10-01,29,44,51,31,18,57
1323,2011-09-28,25,37,15,06,48,55
1322,2011-09-24,55,43,21,10,47,53
1321,2011-09-21,51,59,47,10,60,53
1320,2011-09-17,38,17,55,41,24,25
1319,2011-09-14,16,04,18,27,05,51
1318,2011-09-10,34,46,14,28,11,16
1317,2011-09-08,35,29,37,13,06,30
1316,2011-09-03,48,34,25,42,13,08
1315,2011-08-31,27,29,01,50,52,38
1314,2011-08-27,42,44,52,58,60,38
1313,2011-08-24,39,26,49,01,04,43
1312,2011-08-20,28,30,29,22,20,05
1311,2011-08-17,54,07,19,12,45,09
1310,2011-08-13,14,08,53,09,59,32
1309,2011-08-11,07,12,25,26,32,39
1308,2011-08-09,24,33,07,30,47,08
1307,2011-08-06,10,47,54,07,43,32
1306,2011-08-03,45,06,19,34,43,22
1305,2011-07-30,44,11,05,46,36,03
1304,2011-07-27,35,23,15,07,20,14
1303,2011-07-23,19,51,54,08,52,46
1302,2011-07-20,44,15,56,02,10,57
1301,2011-07-16,16,25,03,51,23,56
1300,2011-07-13,46,43,59,54,44,53
1299,2011-07-09,56,32,08,22,43,53
1298,2011-07-06,60,14,53,30,15,55
1297,2011-07-02,02,56,11,05,59,13
1296,2011-06-29,49,43,14,10,53,46
1295,2011-06-25,20,02,43,15,05,57
1294,2011-06-22,06,50,04,48,29,51
1293,2011-06-18,24,50,01,44,13,40
1292,2011-06-15,30,31,23,09,54,11
1291,2011-06-11,18,57,58,40,47,54
1290,2011-06-08,14,50,03,23,02,34
1289,2011-06-04,13,08,27,01,03,52
1288,2011-06-01,42,32,56,40,30,17
1287,2011-05-28,33,42,12,31,11,52
1286,2011-05-25,05,52,02,33,51,28
1285,2011-05-21,33,10,15,38,31,28
1284,2011-05-18,26,21,20,36,31,29
1283,2011-05-14,59,08,60,44,40,30
1282,2011-05-11,04,39,56,23,52,55
1281,2011-05-07,36,14,30,38,11,08
1280,2011-05-04,29,06,54,10,20,16
1279,2011-04-30,08,29,36,35,14,40
1278,2011-04-27,04,16,24,56,25,30
1277,2011-04-23,50,59,18,31,60,12
1276,2011-04-20,09,40,05,22,36,11
1275,2011-04-16,58,55,14,02,60,48
1274,2011-04-13,13,59,21,17,40,39
1273,2011-04-09,60,26,19,58,13,40
1272,2011-04-06,28,27,13,35,26,52
1271,2011-04-02,02,52,39,59,48,01
1270,2011-03-30,31,33,24,05,42,09
1269,2011-03-26,51,05,27,04,15,17
1268,2011-03-23,17,53,60,44,16,03
1267,2011-03-19,47,58,04,41,20,30
1266,2011-03-16,39,06,42,10,60,33
1265,2011-03-12,13,50,46,24,60,19
1264,2011-03-09,56,17,37,51,04,36
1263,2011-03-05,41,53,18,04,36,26
1262,2011-03-02,11,39,09,05,08,07
1261,2011-02-26,10,41,14,22,53,42
1260,2011-02-23,19,23,31,53,29,41
1259,2011-02-19,39,54,58,46,04,06
1258,2011-02-16,47,26,11,57,59,55
1257,2011-02-12,27,15,30,52,26,02
1256,2011-02-09,26,38,33,35,53,43
1255,2011-02-05,23,05,54,39,38,51
1254,2011-02-02,09,29,18,07,14,39
1253,2011-01-29,02,51,17,44,43,23
1252,2011-01-26,35,02,51,14,49,39
1251,2011-01-22,48,27,34,52,46,05
1250,2011-01-19,59,01,02,40,51,24
1249,2011-01-15,03,40,08,53,51,36
1248,2011-01-12,20,33,58,34,57,60
1247,2011-01-08,09,11,24,03,51,36
1246,2011-01-05,59,10,37,57,40,43
1245,2010-12-31,34,10,37,50,43,02
1244,2010-12-24,45,08,34,15,02,25
1243,2010-12-22,32,19,23,57,09,29
1242,2010-12-20,54,45,51,11,34,48
1241,2010-12-18,13,26,25,10,28,45
1240,2010-12-15,22,42,49,08,12,09
1239,2010-12-11,15,01,48,37,39,52
1238,2010-12-08,40,45,24,14,13,39
1237,2010-12-04,26,21,39,05,18,59
1236,2010-12-01,17,20,38,08,53,03
1235,2010-11-27,16,49,55,20,10,26
1234,2010-11-24,03,05,24,19,30,35
1233,2010-11-20,49,22,59,29,32,54
1232,2010-11-17,12,18,15,08,11,22
1231,2010-11-13,20,27,49,05,23,39
1230,2010-11-10,37,35,12,22,19,09
1229,2010-11-06,12,49,60,32,30,40
1228,2010-11-03,36,10,60,52,50,23
1227,2010-10-30,35,31,04,30,54,28
1226,2010-10-27,31,55,56,50,40,10
1225,2010-10-23,32,55,34,31,50,40
1224,2010-10-20,41,19,57,53,21,27
1223,2010-10-16,17,15,48,42,35,47
1222,2010-10-13,26,19,48,57,05,08
1221,2010-10-09,46,05,58,37,14,43
1220,2010-10-06,48,55,52,43,05,15
1219,2010-10-02,34,37,41,53,02,33
1218,2010-09-29,33,23,29,46,10,31
1217,2010-09-25,05,43,28,15,11,50
1216,2010-09-22,07,25,04,58,13,27
1215,2010-09-18,47,51,10,50,30,25
1214,2010-09-15,05,41,29,36,30,48
1213,2010-09-11,03,53,45,11,34,26
1212,2010-09-08,35,50,02,23,33,40
1211,2010-09-04,36,54,03,31,15,48
1210,2010-09-01,03,07,09,10,31,34
1209,2010-08-28,30,17,38,14,05,35
1208,2010-08-25,45,12,01,26,54,20
1207,2010-08-21,32,35,22,09,56,11
1206,2010-08-18,02,11,37,36,48,06
1205,2010-08-14,14,04,26,35,29,13
1204,2010-08-11,10,25,05,39,52,43
1203,2010-08-07,55,30,33,09,07,38
1202,2010-08-04,09,60,11,53,48,08
1201,2010-07-31,36,32,55,49,60,28
1200,2010-07-28,10,03,39,54,56,11
1199,2010-07-24,58,28,23,39,16,19
1198,2010-07-21,29,22,36,58,41,48
1197,2010-07-17,39,54,36,37,60,49
1196,2010-07-14,60,03,20,19,58,06
1195,2010-07-10,27,17,57,26,55,20
1194,2010-07-07,24,53,41,06,13,50
1193,2010-07-03,12,54,02,32,14,09
1192,2010-06-30,49,17,20,59,57,52
1191,2010-06-26,25,22,11,16,33,03
1190,2010-06-23,11,53,56,37,10,19
1189,2010-06-19,50,21,14,35,31,27
1188,2010-06-16,60,52,59,09,44,20
1187,2010-06-12,08,49,43,17,40,19
1186,2010-06-09,41,12,15,07,13,08
1185,2010-06-05,54,10,02,43,21,35
1184,2010-06-02,04,23,27,28,09,30
1183,2010-05-29,12,05,10,20,29,37
1182,2010-05-26,52,29,56,60,02,04
1181,2010-05-22,44,18,45,31,26,20
1180,2010-05-19,60,12,34,30,44,57
1179,2010-05-15,59,28,47,60,22,05
1178,2010-05-12,01,53,22,50,45,30
1177,2010-05-08,33,52,55,47,38,50
1176,2010-05-05,21,11,49,14,33,30
1175,2010-04-30,02,03,12,37,47,16
1174,2010-04-28,07,52,06,51,47,39
1173,2010-04-24,07,25,24,36,05,47
1172,2010-04-20,28,52,06,43,12,56
1171,2010-04-17,41,03,10,30,57,13
1170,2010-04-14,46,11,27,34,49,13
1169,2010-04-10,14,01,11,23,42,48
1168,2010-04-07,47,20,04,56,53,05
1167,2010-04-03,43,28,56,20,52,51
1166,2010-03-31,35,28,54,30,22,31
1165,2010-03-27,20,52,60,42,54,40
1164,2010-03-24,17,06,14,40,49,26
1163,2010-03-20,05,51,31,53,47,17
1162,2010-03-17,31,25,18,41,22,30
1161,2010-03-13,48,47,07,04,42,51
1160,2010-03-10,40,05,03,48,01,18
1159,2010-03-06,53,46,05,06,34,55
1158,2010-03-03,23,31,60,55,30,54
1157,2010-02-27,46,09,43,41,49,29
1156,2010-02-24,31,49,44,24,09,48
1155,2010-02-20,28,58,41,40,51,20
1154,2010-02-17,04,14,21,26,12,28
1153,2010-02-13,55,46,34,17,19,06
1152,2010-02-10,47,36,44,29,20,14
1151,2010-02-06,01,25,04,14,21,51
1150,2010-02-03,28,17,35,52,31,15
1149,2010-01-30,46,54,08,36,07,23
1148,2010-01-27,48,32,29,55,27,28
1147,2010-01-23,23,39,52,31,06,33
1146,2010-01-20,10,34,53,33,28,06
1145,2010-01-16,19,03,60,33,24,16
1144,2010-01-13,19,10,49,18,01,44
1143,2010-01-09,35,47,60,44,30,03
1142,2010-01-06,28,31,15,58,03,26
1141,2010-01-02,40,09,37,58,50,60
1140,2009-12-31,49,58,40,46,10,27
1139,2009-12-26,36,42,37,09,28,31
